ADMIN|FAIL|2019-10-25 11:58:41|Ascend01|LOCK|203.110.90.230|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 11:58:42|Ascend01|LOCK|203.110.90.230|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 12:02:28|Ascend01|LOCK|14.98.72.66|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-25 12:02:38|Ascend01|LOCK|14.98.72.66|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-25 12:02:38|Ascend01|LOCK|203.110.90.230|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 12:02:39|Ascend01|LOCK|203.110.90.230|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 12:02:39|Ascend01|LOCK|203.110.90.230|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 16:51:50|Ascend03|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 16:52:12|Ascend03|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 16:54:39|Ascend03|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 16:55:02|Ascend03|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 08:58:15|3002|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 08:58:44|3002|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 08:59:12|3002|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 09:03:58|3001|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-28 11:09:02|3002|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 12:02:45|9898|BAD|203.110.90.230|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
